target	model_class	lead	n_train	n_features	artifact_size_kb	elapsed_sec	status	error
wind_gust	Ridge	48	76248	31	5.6	0.58	ok	
wind_gust	Ridge	49	76248	31	5.5	0.56	ok	
wind_gust	Ridge	50	76248	31	5.5	0.54	ok	
wind_gust	Ridge	51	76248	31	5.5	0.55	ok	
wind_gust	Ridge	52	76248	31	5.5	0.55	ok	
wind_gust	Ridge	53	76248	31	5.5	0.55	ok	
wind_gust	Ridge	54	76248	31	5.5	0.57	ok	
wind_gust	Ridge	55	76248	31	5.6	0.56	ok	
wind_gust	Ridge	56	76248	31	5.5	0.55	ok	
wind_gust	Ridge	57	76248	31	5.5	0.57	ok	
wind_gust	Ridge	58	76248	31	5.6	0.55	ok	
wind_gust	Ridge	59	76248	31	5.5	0.55	ok	
wind_gust	Ridge	60	76248	31	5.5	0.57	ok	
wind_gust	Ridge	61	76248	31	5.6	0.56	ok	
wind_gust	Ridge	62	76248	31	5.6	0.55	ok	
wind_gust	Ridge	63	76248	31	5.5	0.55	ok	
wind_gust	Ridge	64	76248	31	5.5	0.55	ok	
wind_gust	Ridge	65	76248	31	5.5	0.59	ok	
wind_gust	Ridge	66	76248	31	5.6	0.57	ok	
wind_gust	Ridge	67	76248	31	5.6	0.56	ok	
wind_gust	Ridge	68	76248	31	5.5	0.57	ok	
wind_gust	Ridge	69	76248	31	5.6	0.55	ok	
wind_gust	Ridge	70	76248	31	5.5	0.56	ok	
wind_gust	Ridge	71	76248	31	5.5	0.55	ok	
wind_gust	Ridge	72	76248	31	5.5	0.55	ok	
pressure	Ridge	1	77864	30	5.2	0.65	ok	
pressure	Ridge	2	77864	30	5.2	0.63	ok	
pressure	Ridge	3	77864	30	5.3	0.62	ok	
pressure	Ridge	4	77864	30	5.3	0.63	ok	
pressure	Ridge	5	77864	30	5.2	0.67	ok	
pressure	Ridge	6	77864	30	5.3	0.63	ok	
pressure	Ridge	7	77864	30	5.2	0.64	ok	
pressure	Ridge	8	77864	30	5.2	0.66	ok	
pressure	Ridge	9	77864	30	5.3	0.62	ok	
pressure	Ridge	10	77864	30	5.3	0.62	ok	
pressure	Ridge	11	77864	30	5.3	0.64	ok	
pressure	Ridge	12	77864	30	5.3	0.63	ok	
pressure	Ridge	13	77864	30	5.3	0.63	ok	
pressure	Ridge	14	77864	30	5.3	0.63	ok	
pressure	Ridge	15	77864	30	5.3	0.63	ok	
pressure	Ridge	16	77864	30	5.3	0.63	ok	
pressure	Ridge	17	77864	30	5.3	0.63	ok	
pressure	Ridge	18	77864	30	5.2	0.64	ok	
pressure	Ridge	19	77864	30	5.2	0.66	ok	
pressure	Ridge	20	77864	30	5.2	0.66	ok	
pressure	Ridge	21	77864	30	5.2	0.64	ok	
pressure	Ridge	22	77864	30	5.2	0.63	ok	
pressure	Ridge	23	77864	30	5.2	0.62	ok	
pressure	Ridge	24	77864	30	5.2	0.63	ok	
pressure	Ridge	25	77864	30	5.2	0.63	ok	
pressure	Ridge	26	77864	30	5.3	0.63	ok	
pressure	Ridge	27	77864	30	5.2	0.63	ok	
pressure	Ridge	28	77864	30	5.3	0.63	ok	
pressure	Ridge	29	77864	30	5.3	0.64	ok	
pressure	Ridge	30	77864	30	5.2	0.66	ok	
pressure	Ridge	31	77864	30	5.2	0.63	ok	
pressure	Ridge	32	77864	30	5.3	0.64	ok	
pressure	Ridge	33	77864	30	5.3	0.62	ok	
pressure	Ridge	34	77864	30	5.3	0.62	ok	
pressure	Ridge	35	77864	30	5.2	0.63	ok	
pressure	Ridge	36	77864	30	5.3	0.63	ok	
pressure	Ridge	37	77864	30	5.3	0.67	ok	
pressure	Ridge	38	77864	30	5.2	0.62	ok	
pressure	Ridge	39	77864	30	5.3	0.63	ok	
pressure	Ridge	40	77864	30	5.3	0.63	ok	
pressure	Ridge	41	77864	30	5.3	0.64	ok	
pressure	Ridge	42	77864	30	5.3	0.63	ok	
pressure	Ridge	43	77864	30	5.2	0.62	ok	
pressure	Ridge	44	77864	30	5.3	0.63	ok	
pressure	Ridge	45	77864	30	5.2	0.63	ok	
pressure	Ridge	46	77864	30	5.2	0.64	ok	
pressure	Ridge	47	77864	30	5.2	0.64	ok	
pressure	Ridge	48	77864	30	5.2	0.65	ok	
pressure	Ridge	49	77864	30	5.2	0.62	ok	
pressure	Ridge	50	77864	30	5.2	0.63	ok	
pressure	Ridge	51	77864	30	5.2	0.63	ok	
pressure	Ridge	52	77864	30	5.2	0.64	ok	
pressure	Ridge	53	77864	30	5.2	0.63	ok	
pressure	Ridge	54	77864	30	5.3	0.63	ok	
pressure	Ridge	55	77864	30	5.2	0.66	ok	
pressure	Ridge	56	77864	30	5.3	0.65	ok	
pressure	Ridge	57	77864	30	5.3	0.64	ok	
pressure	Ridge	58	77864	30	5.3	0.63	ok	
pressure	Ridge	59	77864	30	5.2	0.63	ok	
pressure	Ridge	60	77864	30	5.2	0.62	ok	
pressure	Ridge	61	77864	30	5.2	0.63	ok	
pressure	Ridge	62	77864	30	5.2	0.64	ok	
pressure	Ridge	63	77864	30	5.2	0.63	ok	
pressure	Ridge	64	77864	30	5.2	0.63	ok	
pressure	Ridge	65	77864	30	5.2	0.63	ok	
pressure	Ridge	66	77864	30	5.2	0.64	ok	
pressure	Ridge	67	77864	30	5.2	0.62	ok	
pressure	Ridge	68	77864	30	5.2	0.65	ok	
pressure	Ridge	69	77864	30	5.2	0.63	ok	
pressure	Ridge	70	77864	30	5.2	0.65	ok	
pressure	Ridge	71	77864	30	5.2	0.72	ok	
pressure	Ridge	72	77864	30	5.2	0.64	ok	
