target,model_class,hp,validation_mode,lead_hours,shipped_in_v1,baseline_mae,corrected_mae,mae_reduction_pct,baseline_bias,corrected_bias,bias_correction_pct,n_stations,n_failures,n_eval,absolute_mae,target_mean,target_std,baseline_mae_for_reference,note
uv,HGB,"max_depth=10, lr=0.1",april,24.0,True,,,,,,,,,11996.0,0.538615423806299,,,226.11259011668702,
uv,HGB,"max_depth=10, lr=0.1",april,48.0,True,,,,,,,,,11590.0,0.5314788003404951,,,226.7553928971743,
uv,HGB,"max_depth=10, lr=0.1",april,72.0,True,,,,,,,,,11211.0,0.5342676215823614,,,225.9953337634293,
wind_direction,Ridge,alpha=10.0,LOSO,1.0,True,72.93963168825489,39.17966981589241,31.845307949524,,,,26.0,2.0,,,,,,
wind_direction,Ridge,alpha=10.0,LOSO,6.0,True,72.93963168825489,55.35809038104493,4.349838160987808,,,,26.0,11.0,,,,,,
wind_direction,Ridge,alpha=10.0,LOSO,24.0,True,72.93963168825489,56.42460524512813,3.8910597091596406,,,,26.0,11.0,,,,,,
wind_direction,Ridge,alpha=10.0,LOSO,48.0,True,72.93963168825489,58.813548066856534,0.39267873688484395,,,,26.0,12.0,,,,,,
wind_direction,Ridge,alpha=10.0,LOSO,72.0,True,72.93963168825489,59.93082894470727,-1.2181943092865881,,,,26.0,13.0,,,,,,
wind_direction,Ridge,alpha=10.0,within_station,1.0,True,72.90014367816092,35.31705937312068,51.55419785036611,,,,,,6960.0,,,,,
wind_direction,Ridge,alpha=10.0,within_station,6.0,True,72.90014367816092,48.746488460618124,33.13252073161363,,,,,,6960.0,,,,,
wind_direction,Ridge,alpha=10.0,within_station,24.0,True,72.90014367816092,48.25941478209264,33.800658891499594,,,,,,6960.0,,,,,
wind_direction,Ridge,alpha=10.0,within_station,48.0,True,72.90014367816092,50.35500315740837,30.926057732183203,,,,,,6960.0,,,,,
wind_direction,Ridge,alpha=10.0,within_station,72.0,True,72.90014367816092,52.21662833144572,28.37239311629981,,,,,,6960.0,,,,,
wind_direction,Ridge,alpha=10.0,april,1.0,True,69.40817732393225,33.26063838084693,52.07965449716757,,,,,,12339.0,,,,,
wind_direction,Ridge,alpha=10.0,april,6.0,True,69.53992503870285,52.28852784278455,24.80790306621258,,,,,,12273.0,,,,,
wind_direction,Ridge,alpha=10.0,april,24.0,True,69.81356285428477,48.74869671764579,30.173028385051303,,,,,,11996.0,,,,,
wind_direction,Ridge,alpha=10.0,april,48.0,True,70.15547886108715,51.99785041878389,25.88198204484735,,,,,,11590.0,,,,,
wind_direction,Ridge,alpha=10.0,april,72.0,True,70.22651859780572,53.284557373364976,24.1247345913145,,,,,,11211.0,,,,,
rain_occurrence,investigated_not_shipped,,see_rain_appendix,,False,,,,,,,,,,,,,,"see rain_appendix.md - persistence-dominated, excluded from v1"
rain_amount,investigated_not_shipped,,see_rain_appendix,,False,,,,,,,,,,,,,,"see rain_appendix.md - persistence-dominated, excluded from v1"
